index	Fx	Fy	Fz	Fmag
0	0.000	0.000	0.000	0.000
1	276.760	41.888	106.590	299.520
2	249.084	209.440	135.014	352.330
3	13.838	188.496	42.636	193.753
4	262.922	52.360	21.318	268.931
5	221.408	10.472	56.848	228.829
6	13.838	83.776	49.742	98.408
7	124.542	31.416	28.424	131.551
8	138.380	115.192	28.424	182.280
9	262.922	146.608	14.212	301.370
10	152.218	10.472	135.014	203.737
11	13.838	157.080	56.848	167.623
12	235.246	125.664	49.742	271.305
13	166.056	52.360	142.120	224.754
14	235.246	52.360	92.378	258.101
15	124.542	157.080	106.590	227.038
16	276.760	94.248	85.272	304.549
17	152.218	41.888	56.848	167.799
18	69.190	41.888	106.590	133.803
19	124.542	20.944	92.378	156.471
20	124.542	41.888	142.120	193.555
21	276.760	209.440	120.802	367.497
22	27.676	83.776	99.484	132.972
23	276.760	94.248	35.530	294.519
24	13.838	73.304	28.424	79.830
25	207.570	178.024	71.060	282.537
26	110.704	157.080	142.120	239.014
27	69.190	125.664	71.060	160.088
28	96.866	83.776	78.166	150.038
29	138.380	83.776	99.484	189.907
30	27.676	167.552	120.802	208.405
31	207.570	167.552	85.272	280.054
32	179.894	94.248	135.014	243.872
33	152.218	83.776	127.908	215.753
34	138.380	73.304	78.166	175.021
35	166.056	136.136	28.424	216.600
36	179.894	20.944	85.272	200.179
37	152.218	20.944	99.484	183.047
38	124.542	115.192	7.106	169.795
39	276.760	157.080	92.378	331.367
40	207.570	115.192	92.378	254.732
41	276.760	188.496	142.120	363.765
42	179.894	136.136	28.424	227.382
43	27.676	146.608	21.318	150.713
44	27.676	178.024	135.014	225.138
45	166.056	10.472	120.802	205.615
46	13.838	52.360	142.120	152.089
47	138.380	52.360	113.696	186.594
48	152.218	178.024	142.120	273.973
49	13.838	198.968	63.954	209.451
50	179.894	94.248	7.106	203.212
51	41.514	10.472	71.060	82.961
52	83.028	41.888	113.696	146.884
53	276.760	198.968	142.120	369.300
54	27.676	31.416	63.954	76.440
55	207.570	10.472	14.212	208.319
56	152.218	94.248	85.272	198.304
57	69.190	104.720	113.696	169.353
58	138.380	115.192	92.378	202.366
59	55.352	62.832	142.120	164.954
60	152.218	125.664	28.424	199.423
61	96.866	104.720	78.166	162.663
62	207.570	115.192	92.378	254.732
63	69.190	52.360	14.212	87.925
64	276.760	10.472	21.318	277.777
65	27.676	62.832	106.590	126.788
66	138.380	115.192	21.318	181.308
67	13.838	146.608	63.954	160.548
68	41.514	20.944	49.742	68.091
69	124.542	41.888	21.318	133.116
70	276.760	188.496	99.484	349.319
71	69.190	198.968	120.802	242.835
72	166.056	20.944	113.696	202.336
73	235.246	104.720	63.954	265.324
74	13.838	31.416	92.378	98.550
75	235.246	83.776	49.742	254.624
76	166.056	136.136	85.272	231.039
77	55.352	178.024	42.636	191.244
78	110.704	146.608	49.742	190.325
79	193.732	136.136	42.636	240.589
80	13.838	146.608	127.908	195.053
81	193.732	167.552	142.120	292.923
82	166.056	198.968	106.590	280.222
83	13.838	198.968	71.060	211.729
84	221.408	198.968	92.378	311.678
85	193.732	31.416	120.802	230.461
86	235.246	73.304	99.484	265.728
87	69.190	52.360	92.378	126.738
88	276.760	31.416	63.954	285.785
89	276.760	31.416	42.636	281.782
90	235.246	83.776	92.378	266.257
91	124.542	10.472	78.166	147.412
92	262.922	136.136	42.636	299.130
93	124.542	10.472	28.424	128.173
94	179.894	41.888	28.424	186.881
95	179.894	20.944	71.060	194.551
96	27.676	73.304	99.484	126.635
97	138.380	125.664	127.908	226.497
98	276.760	73.304	120.802	310.745
99	235.246	157.080	106.590	302.285
