index	ax	ay	az	amag
0	0.0000	0.0000	0.0000	0.0000
1	7.4000	1.1200	2.8500	8.0086
2	6.6600	5.6000	3.6100	9.4206
3	0.3700	5.0400	1.1400	5.1806
4	7.0300	1.4000	0.5700	7.1907
5	5.9200	0.2800	1.5200	6.1184
6	0.3700	2.2400	1.3300	2.6312
7	3.3300	0.8400	0.7600	3.5174
8	3.7000	3.0800	0.7600	4.8738
9	7.0300	3.9200	0.3800	8.0580
10	4.0700	0.2800	3.6100	5.4475
11	0.3700	4.2000	1.5200	4.4819
12	6.2900	3.3600	1.3300	7.2541
13	4.4400	1.4000	3.8000	6.0095
14	6.2900	1.4000	2.4700	6.9011
15	3.3300	4.2000	2.8500	6.0705
16	7.4000	2.5200	2.2800	8.1430
17	4.0700	1.1200	1.5200	4.4866
18	1.8500	1.1200	2.8500	3.5776
19	3.3300	0.5600	2.4700	4.1837
20	3.3300	1.1200	3.8000	5.1753
21	7.4000	5.6000	3.2300	9.8261
22	0.7400	2.2400	2.6600	3.5554
23	7.4000	2.5200	0.9500	7.8748
24	0.3700	1.9600	0.7600	2.1345
25	5.5500	4.7600	1.9000	7.5545
26	2.9600	4.2000	3.8000	6.3907
27	1.8500	3.3600	1.9000	4.2804
28	2.5900	2.2400	2.0900	4.0117
29	3.7000	2.2400	2.6600	5.0777
30	0.7400	4.4800	3.2300	5.5723
31	5.5500	4.4800	2.2800	7.4881
32	4.8100	2.5200	3.6100	6.5206
33	4.0700	2.2400	3.4200	5.7688
34	3.7000	1.9600	2.0900	4.6797
35	4.4400	3.6400	0.7600	5.7914
36	4.8100	0.5600	2.2800	5.3524
37	4.0700	0.5600	2.6600	4.8943
38	3.3300	3.0800	0.1900	4.5400
39	7.4000	4.2000	2.4700	8.8601
40	5.5500	3.0800	2.4700	6.8110
41	7.4000	5.0400	3.8000	9.7263
42	4.8100	3.6400	0.7600	6.0797
43	0.7400	3.9200	0.5700	4.0298
44	0.7400	4.7600	3.6100	6.0197
45	4.4400	0.2800	3.2300	5.4977
46	0.3700	1.4000	3.8000	4.0666
47	3.7000	1.4000	3.0400	4.9891
48	4.0700	4.7600	3.8000	7.3255
49	0.3700	5.3200	1.7100	5.6003
50	4.8100	2.5200	0.1900	5.4335
51	1.1100	0.2800	1.9000	2.2182
52	2.2200	1.1200	3.0400	3.9274
53	7.4000	5.3200	3.8000	9.8743
54	0.7400	0.8400	1.7100	2.0438
55	5.5500	0.2800	0.3800	5.5700
56	4.0700	2.5200	2.2800	5.3022
57	1.8500	2.8000	3.0400	4.5281
58	3.7000	3.0800	2.4700	5.4109
59	1.4800	1.6800	3.8000	4.4105
60	4.0700	3.3600	0.7600	5.3322
61	2.5900	2.8000	2.0900	4.3493
62	5.5500	3.0800	2.4700	6.8110
63	1.8500	1.4000	0.3800	2.3509
64	7.4000	0.2800	0.5700	7.4272
65	0.7400	1.6800	2.8500	3.3901
66	3.7000	3.0800	0.5700	4.8478
67	0.3700	3.9200	1.7100	4.2927
68	1.1100	0.5600	1.3300	1.8206
69	3.3300	1.1200	0.5700	3.5592
70	7.4000	5.0400	2.6600	9.3401
71	1.8500	5.3200	3.2300	6.4929
72	4.4400	0.5600	3.0400	5.4101
73	6.2900	2.8000	1.7100	7.0942
74	0.3700	0.8400	2.4700	2.6350
75	6.2900	2.2400	1.3300	6.8081
76	4.4400	3.6400	2.2800	6.1775
77	1.4800	4.7600	1.1400	5.1135
78	2.9600	3.9200	1.3300	5.0889
79	5.1800	3.6400	1.1400	6.4329
80	0.3700	3.9200	3.4200	5.2153
81	5.1800	4.4800	3.8000	7.8322
82	4.4400	5.3200	2.8500	7.4926
83	0.3700	5.3200	1.9000	5.6612
84	5.9200	5.3200	2.4700	8.3336
85	5.1800	0.8400	3.2300	6.1621
86	6.2900	1.9600	2.6600	7.1050
87	1.8500	1.4000	2.4700	3.3887
88	7.4000	0.8400	1.7100	7.6413
89	7.4000	0.8400	1.1400	7.5343
90	6.2900	2.2400	2.4700	7.1192
91	3.3300	0.2800	2.0900	3.9415
92	7.0300	3.6400	1.1400	7.9981
93	3.3300	0.2800	0.7600	3.4271
94	4.8100	1.1200	0.7600	4.9968
95	4.8100	0.5600	1.9000	5.2019
96	0.7400	1.9600	2.6600	3.3860
97	3.7000	3.3600	3.4200	6.0561
98	7.4000	1.9600	3.2300	8.3087
99	6.2900	4.2000	2.8500	8.0825
