 The Position Values for the object are: 
index		x		y		z		rmag
0		0.00		0.00		0.00		0.00
1		0.00		0.00		0.00		0.00
2		0.00		0.00		0.00		0.00
3		0.00		0.00		0.00		0.00
4		0.00		0.00		0.00		0.00
5		0.00		0.00		0.00		0.00
6		0.00		0.00		0.00		0.00
7		0.00		0.00		0.00		0.00
8		0.00		0.00		0.00		0.00
9		0.00		0.00		0.00		0.00
10		0.00		0.00		0.00		0.01
11		0.01		0.00		0.00		0.01
12		0.01		0.00		0.00		0.01
13		0.01		0.00		0.00		0.01
14		0.01		0.01		0.00		0.01
15		0.01		0.01		0.00		0.01
16		0.01		0.01		0.00		0.01
17		0.01		0.01		0.01		0.02
18		0.02		0.01		0.01		0.02
19		0.02		0.01		0.01		0.02
20		0.02		0.01		0.01		0.02
21		0.02		0.01		0.01		0.03
22		0.02		0.01		0.01		0.03
23		0.03		0.01		0.01		0.03
24		0.03		0.02		0.01		0.03
25		0.03		0.02		0.01		0.04
26		0.03		0.02		0.01		0.04
27		0.04		0.02		0.02		0.04
28		0.04		0.02		0.02		0.05
29		0.04		0.02		0.02		0.05
30		0.04		0.03		0.02		0.06
31		0.05		0.03		0.02		0.06
32		0.05		0.03		0.02		0.06
33		0.05		0.03		0.02		0.07
34		0.06		0.03		0.03		0.07
35		0.06		0.04		0.03		0.08
36		0.06		0.04		0.03		0.08
37		0.07		0.04		0.03		0.08
38		0.07		0.04		0.03		0.09
39		0.08		0.04		0.04		0.09
40		0.08		0.05		0.04		0.10
41		0.08		0.05		0.04		0.10
42		0.09		0.05		0.04		0.11
43		0.09		0.06		0.04		0.12
44		0.10		0.06		0.05		0.12
45		0.10		0.06		0.05		0.13
46		0.11		0.06		0.05		0.13
47		0.11		0.07		0.05		0.14
48		0.11		0.07		0.06		0.15
49		0.12		0.07		0.06		0.15
50		0.12		0.08		0.06		0.16
51		0.13		0.08		0.07		0.16
52		0.13		0.08		0.07		0.17
53		0.14		0.09		0.07		0.18
54		0.14		0.09		0.07		0.19
55		0.15		0.09		0.08		0.19
56		0.15		0.10		0.08		0.20
57		0.16		0.10		0.08		0.21
58		0.17		0.10		0.09		0.21
59		0.17		0.11		0.09		0.22
60		0.18		0.11		0.09		0.23
61		0.18		0.12		0.10		0.24
62		0.19		0.12		0.10		0.24
63		0.19		0.12		0.10		0.25
64		0.20		0.13		0.11		0.26
65		0.21		0.13		0.11		0.27
66		0.21		0.14		0.11		0.28
67		0.22		0.14		0.12		0.28
68		0.22		0.15		0.12		0.29
69		0.23		0.15		0.12		0.30
70		0.24		0.15		0.13		0.31
71		0.24		0.16		0.13		0.32
72		0.25		0.16		0.13		0.33
73		0.26		0.17		0.14		0.34
74		0.26		0.17		0.14		0.35
75		0.27		0.18		0.15		0.36
76		0.28		0.18		0.15		0.36
77		0.28		0.19		0.15		0.37
78		0.29		0.19		0.16		0.38
79		0.30		0.20		0.16		0.39
80		0.31		0.20		0.17		0.40
81		0.31		0.21		0.17		0.41
82		0.32		0.21		0.18		0.42
83		0.33		0.22		0.18		0.43
84		0.34		0.22		0.18		0.44
85		0.34		0.23		0.19		0.45
86		0.35		0.24		0.19		0.47
87		0.36		0.24		0.20		0.48
88		0.37		0.25		0.20		0.49
89		0.38		0.25		0.21		0.50
90		0.39		0.26		0.21		0.51
91		0.39		0.26		0.22		0.52
92		0.40		0.27		0.22		0.53
93		0.41		0.28		0.23		0.55
94		0.42		0.28		0.23		0.56
95		0.43		0.29		0.24		0.57
96		0.44		0.30		0.24		0.58
97		0.45		0.30		0.25		0.59
98		0.46		0.31		0.25		0.61
99		0.47		0.31		0.26		0.62
