index	Px	Py	Pz	Pmag
0	0.00	0.00	0.00	0.00
1	0.00	0.00	0.00	0.00
2	0.00	0.00	0.00	0.00
3	0.51	1.06	0.61	1.32
4	18.48	1.76	0.69	18.58
5	15.97	0.62	2.16	16.13
6	1.48	5.51	2.03	6.06
7	17.05	2.11	1.38	17.24
8	19.20	9.03	1.57	21.28
9	40.86	12.11	0.84	42.62
10	26.47	1.03	8.47	27.81
11	2.89	18.47	3.67	19.05
12	53.97	14.95	4.11	56.15
13	38.40	7.33	12.83	41.14
14	61.80	8.21	8.95	62.98
15	35.48	25.73	12.35	45.54
16	87.55	16.10	10.94	89.69
17	50.69	8.03	8.10	51.96
18	25.60	8.56	16.40	31.59
19	48.61	4.40	14.92	51.04
20	49.77	9.03	24.98	56.41
21	115.20	45.74	22.72	126.02
22	11.98	18.77	20.60	30.33
23	130.05	23.75	7.93	132.44
24	6.55	19.29	6.72	21.46
25	105.99	49.10	17.15	118.06
26	56.73	44.86	34.83	80.28
27	37.38	38.88	18.09	56.89
28	53.76	27.68	21.39	64.14
29	78.08	29.09	28.16	87.95
30	15.97	60.05	35.46	71.55
31	123.65	61.93	26.17	140.74
32	107.83	36.95	43.61	122.04
33	95.46	34.72	42.77	110.22
34	90.11	31.30	27.55	99.29
35	111.51	59.65	10.50	126.90
36	124.14	9.38	32.40	128.64
37	108.42	9.76	38.18	115.36
38	91.70	54.03	2.81	106.47
39	209.41	74.11	37.74	225.32
40	160.51	56.12	37.82	174.20
41	224.26	95.79	59.95	251.12
42	150.76	71.28	12.34	167.22
43	24.22	80.46	9.66	84.58
44	24.88	100.94	61.69	120.89
45	149.92	6.14	55.54	159.99
46	12.54	31.96	67.91	76.10
47	128.51	32.03	56.17	143.86
48	141.65	110.16	72.91	193.69
49	13.13	124.51	33.78	129.68
50	174.39	61.22	3.89	184.86
51	40.32	7.08	39.49	56.88
52	82.64	28.85	63.29	108.02
53	277.00	137.33	80.47	319.47
54	28.01	21.86	37.18	51.43
55	217.73	7.56	8.53	218.03
56	160.23	68.48	51.93	181.82
57	74.75	76.24	69.45	127.37
58	152.32	85.31	57.48	183.80
59	61.44	47.41	90.59	119.29
60	171.78	96.76	18.47	198.02
61	110.03	81.51	52.28	146.57
62	240.00	91.60	62.13	264.30
63	80.90	42.37	9.71	91.84
64	331.27	8.64	14.82	331.71
65	33.38	52.25	74.33	96.79
66	172.03	95.95	14.93	197.55
67	17.25	123.36	45.69	132.67
68	52.53	17.94	35.68	65.99
69	157.83	36.71	15.47	162.78
70	352.26	165.73	72.87	396.06
71	89.22	176.05	88.83	216.43
72	220.26	19.06	85.11	236.91
73	314.22	98.08	48.91	332.78
74	18.79	29.51	72.05	80.10
75	326.84	79.87	39.22	338.74
76	231.02	130.36	68.29	273.91
77	78.75	172.47	34.43	192.70
78	159.95	144.70	40.73	219.50
79	281.35	137.61	35.16	315.16
80	20.30	151.06	106.32	185.84
81	289.23	175.70	118.95	358.71
82	248.22	212.54	91.03	339.22
83	21.04	216.99	62.04	226.67
84	341.61	222.29	81.97	415.73
85	299.27	35.93	108.34	320.29
86	370.36	85.80	90.45	390.78
87	110.72	61.50	85.48	152.80
88	451.59	37.21	60.03	457.08
89	454.15	37.43	40.54	457.49
90	394.73	100.16	88.64	416.78
91	213.58	12.56	75.45	226.87
92	459.17	164.86	41.68	489.64
93	219.57	12.70	28.08	221.73
94	323.49	51.55	28.24	328.78
95	326.48	25.80	70.88	335.08
96	50.89	90.72	99.61	144.03
97	257.80	155.87	129.29	327.83
98	516.61	91.64	123.71	539.07
99	443.47	199.02	110.98	498.59
