The Velocity Values for the object are: 
index		vx		vy		vz		vmag
0		0.0000		0.0000		0.0000		0.0000
1		0.0000		0.0000		0.0000		0.0000
2		0.0370		0.0056		0.0143		0.0400
3		0.0703		0.0336		0.0323		0.0843
4		0.0722		0.0588		0.0380		0.1005
5		0.1073		0.0658		0.0409		0.1323
6		0.1369		0.0672		0.0485		0.1600
7		0.1388		0.0784		0.0551		0.1686
8		0.1554		0.0826		0.0589		0.1856
9		0.1739		0.0980		0.0627		0.2092
10		0.2091		0.1176		0.0646		0.2484
11		0.2294		0.1190		0.0827		0.2713
12		0.2313		0.1400		0.0902		0.2850
13		0.2627		0.1568		0.0969		0.3209
14		0.2849		0.1638		0.1159		0.3485
15		0.3163		0.1708		0.1283		0.3817
16		0.3330		0.1918		0.1425		0.4099
17		0.3700		0.2044		0.1539		0.4498
18		0.3903		0.2100		0.1615		0.4718
19		0.3996		0.2156		0.1758		0.4869
20		0.4162		0.2184		0.1881		0.5063
21		0.4329		0.2240		0.2071		0.5296
22		0.4699		0.2520		0.2233		0.5781
23		0.4736		0.2632		0.2366		0.5912
24		0.5106		0.2758		0.2413		0.6285
25		0.5124		0.2856		0.2451		0.6358
26		0.5402		0.3094		0.2546		0.6726
27		0.5550		0.3304		0.2736		0.7015
28		0.5643		0.3472		0.2831		0.7205
29		0.5772		0.3584		0.2936		0.7401
30		0.5957		0.3696		0.3069		0.7653
31		0.5994		0.3920		0.3230		0.7857
32		0.6272		0.4144		0.3344		0.8227
33		0.6512		0.4270		0.3525		0.8548
34		0.6716		0.4382		0.3696		0.8829
35		0.6901		0.4480		0.3800		0.9062
36		0.7123		0.4662		0.3838		0.9338
37		0.7363		0.4690		0.3952		0.9583
38		0.7567		0.4718		0.4085		0.9808
39		0.7733		0.4872		0.4095		1.0015
40		0.8103		0.5082		0.4218		1.0454
41		0.8381		0.5236		0.4342		1.0793
42		0.8751		0.5488		0.4532		1.1279
43		0.8991		0.5670		0.4570		1.1570
44		0.9028		0.5866		0.4598		1.1707
45		0.9065		0.6104		0.4779		1.1928
46		0.9287		0.6118		0.4940		1.2169
47		0.9306		0.6188		0.5130		1.2296
48		0.9491		0.6258		0.5282		1.2535
49		0.9694		0.6496		0.5472		1.2889
50		0.9713		0.6762		0.5558		1.3075
51		0.9953		0.6888		0.5567		1.3323
52		1.0009		0.6902		0.5662		1.3411
53		1.0120		0.6958		0.5814		1.3588
54		1.0490		0.7224		0.6004		1.4081
55		1.0527		0.7266		0.6090		1.4166
56		1.0804		0.7280		0.6109		1.4389
57		1.1008		0.7406		0.6223		1.4654
58		1.1100		0.7546		0.6375		1.4859
59		1.1285		0.7700		0.6498		1.5128
60		1.1359		0.7784		0.6688		1.5308
61		1.1563		0.7952		0.6726		1.5562
62		1.1692		0.8092		0.6831		1.5775
63		1.1970		0.8246		0.6954		1.6113
64		1.2062		0.8316		0.6973		1.6226
65		1.2432		0.8330		0.7002		1.6522
66		1.2469		0.8414		0.7144		1.6653
67		1.2654		0.8568		0.7173		1.6881
68		1.2672		0.8764		0.7258		1.7032
69		1.2728		0.8792		0.7325		1.7116
70		1.2894		0.8848		0.7353		1.7281
71		1.3264		0.9100		0.7486		1.7743
72		1.3357		0.9366		0.7648		1.8017
73		1.3579		0.9394		0.7800		1.8261
74		1.3893		0.9534		0.7885		1.8604
75		1.3912		0.9576		0.8008		1.8692
76		1.4226		0.9688		0.8075		1.9012
77		1.4448		0.9870		0.8189		1.9319
78		1.4522		1.0108		0.8246		1.9521
79		1.4670		1.0304		0.8313		1.9761
80		1.4929		1.0486		0.8370		2.0072
81		1.4948		1.0682		0.8541		2.0261
82		1.5207		1.0906		0.8731		2.0650
83		1.5429		1.1172		0.8873		2.1014
84		1.5447		1.1438		0.8968		2.1210
85		1.5743		1.1704		0.9092		2.1622
86		1.6002		1.1746		0.9253		2.1901
87		1.6317		1.1844		0.9386		2.2240
88		1.6409		1.1914		0.9509		2.2397
89		1.6779		1.1956		0.9595		2.2728
90		1.7149		1.1998		0.9652		2.3048
91		1.7464		1.2110		0.9775		2.3392
92		1.7630		1.2124		0.9880		2.3568
93		1.7982		1.2306		0.9937		2.3949
94		1.8148		1.2320		0.9975		2.4097
95		1.8389		1.2376		1.0013		2.4322
96		1.8629		1.2404		1.0108		2.4558
97		1.8666		1.2502		1.0241		2.4690
98		1.8851		1.2670		1.0412		2.4986
99		1.9221		1.2768		1.0574		2.5383
