index	Wx	Wy	Wz	Wmag
1	0.0000	0.0000	0.0000	0.0000
2	0.0000	0.0000	0.0000	0.0000
3	0.0026	0.0053	0.0030	0.0066
4	0.0924	0.0088	0.0034	0.0929
5	0.0799	0.0031	0.0108	0.0807
6	0.0074	0.0276	0.0102	0.0303
7	0.0852	0.0106	0.0069	0.0862
8	0.0960	0.0452	0.0078	0.1064
9	0.2043	0.0605	0.0042	0.2131
10	0.1324	0.0051	0.0423	0.1391
11	0.0145	0.0924	0.0184	0.0953
12	0.2698	0.0748	0.0206	0.2807
13	0.1920	0.0367	0.0641	0.2057
14	0.3090	0.0411	0.0448	0.3149
15	0.1774	0.1286	0.0618	0.2277
16	0.4378	0.0805	0.0547	0.4484
17	0.2534	0.0402	0.0405	0.2598
18	0.1280	0.0428	0.0820	0.1579
19	0.2431	0.0220	0.0746	0.2552
20	0.2488	0.0452	0.1249	0.2821
21	0.5760	0.2287	0.1136	0.6301
22	0.0599	0.0938	0.1030	0.1517
23	0.6502	0.1188	0.0397	0.6622
24	0.0328	0.0965	0.0336	0.1073
25	0.5299	0.2455	0.0857	0.5903
26	0.2837	0.2243	0.1742	0.4014
27	0.1869	0.1944	0.0905	0.2844
28	0.2688	0.1384	0.1069	0.3207
29	0.3904	0.1454	0.1408	0.4398
30	0.0799	0.3003	0.1773	0.3577
31	0.6182	0.3096	0.1308	0.7037
32	0.5391	0.1847	0.2180	0.6102
33	0.4773	0.1736	0.2139	0.5511
34	0.4506	0.1565	0.1377	0.4965
35	0.5576	0.2983	0.0525	0.6345
36	0.6207	0.0469	0.1620	0.6432
37	0.5421	0.0488	0.1909	0.5768
38	0.4585	0.2701	0.0140	0.5323
39	1.0471	0.3706	0.1887	1.1266
40	0.8026	0.2806	0.1891	0.8710
41	1.1213	0.4790	0.2997	1.2556
42	0.7538	0.3564	0.0617	0.8361
43	0.1211	0.4023	0.0483	0.4229
44	0.1244	0.5047	0.3085	0.6044
45	0.7496	0.0307	0.2777	0.8000
46	0.0627	0.1598	0.3396	0.3805
47	0.6426	0.1602	0.2808	0.7193
48	0.7082	0.5508	0.3645	0.9684
49	0.0657	0.6226	0.1689	0.6484
50	0.8719	0.3061	0.0194	0.9243
51	0.2016	0.0354	0.1975	0.2844
52	0.4132	0.1443	0.3165	0.5401
53	1.3850	0.6866	0.4023	1.5973
54	0.1400	0.1093	0.1859	0.2571
55	1.0887	0.0378	0.0427	1.0901
56	0.8012	0.3424	0.2596	0.9091
57	0.3738	0.3812	0.3473	0.6369
58	0.7616	0.4266	0.2874	0.9190
59	0.3072	0.2371	0.4530	0.5965
60	0.8589	0.4838	0.0923	0.9901
61	0.5502	0.4076	0.2614	0.7329
62	1.2000	0.4580	0.3107	1.3215
63	0.4045	0.2118	0.0485	0.4592
64	1.6563	0.0432	0.0741	1.6586
65	0.1669	0.2613	0.3716	0.4840
66	0.8602	0.4798	0.0746	0.9877
67	0.0863	0.6168	0.2284	0.6634
68	0.2627	0.0897	0.1784	0.3299
69	0.7891	0.1836	0.0774	0.8139
70	1.7613	0.8286	0.3643	1.9803
71	0.4461	0.8802	0.4441	1.0822
72	1.1013	0.0953	0.4256	1.1845
73	1.5711	0.4904	0.2445	1.6639
74	0.0940	0.1476	0.3603	0.4005
75	1.6342	0.3994	0.1961	1.6937
76	1.1551	0.6518	0.3415	1.3696
77	0.3937	0.8623	0.1721	0.9635
78	0.7998	0.7235	0.2037	1.0975
79	1.4067	0.6880	0.1758	1.5758
80	0.1015	0.7553	0.5316	0.9292
81	1.4462	0.8785	0.5947	1.7935
82	1.2411	1.0627	0.4552	1.6961
83	0.1052	1.0850	0.3102	1.1333
84	1.7081	1.1114	0.4098	2.0786
85	1.4963	0.1797	0.5417	1.6015
86	1.8518	0.4290	0.4522	1.9539
87	0.5536	0.3075	0.4274	0.7640
88	2.2579	0.1860	0.3001	2.2854
89	2.2707	0.1871	0.2027	2.2874
90	1.9737	0.5008	0.4432	2.0839
91	1.0679	0.0628	0.3772	1.1343
92	2.2958	0.8243	0.2084	2.4482
93	1.0979	0.0635	0.1404	1.1086
94	1.6174	0.2577	0.1412	1.6439
95	1.6324	0.1290	0.3544	1.6754
96	0.2545	0.4536	0.4981	0.7201
97	1.2890	0.7794	0.6464	1.6391
98	2.5831	0.4582	0.6186	2.6953
99	2.2174	0.9951	0.5549	2.4930
