The Acceleration values generated for 100 values are: 
index		ax		ay		az		amag
0		0.0000		0.0000		0.0000		0.0000
1		2.9600		2.8000		2.6600		4.8659
2		7.0300		3.0800		2.4700		8.0628
3		1.8500		5.3200		0.7600		5.6835
4		3.7000		0.2800		1.1400		3.8818
5		4.8100		0.8400		1.5200		5.1139
6		1.4800		2.2400		1.9000		3.2891
7		0.3700		3.6400		0.7600		3.7369
8		3.7000		2.8000		3.4200		5.7642
9		0.3700		3.9200		3.8000		5.4720
10		7.0300		4.7600		3.0400		9.0178
11		6.6600		1.9600		2.4700		7.3687
12		2.9600		3.0800		2.6600		5.0323
13		7.4000		2.8000		3.8000		8.7772
14		0.7400		2.2400		2.4700		3.4156
15		5.1800		4.7600		1.1400		7.1267
16		2.2200		2.5200		2.2800		4.0592
17		5.5500		5.0400		0.3800		7.5066
18		5.1800		2.5200		0.9500		5.8383
19		3.3300		3.0800		0.9500		4.6344
20		6.2900		3.0800		0.7600		7.0447
21		1.1100		1.9600		1.9000		2.9468
22		1.8500		0.5600		2.6600		3.2881
23		6.6600		2.5200		1.7100		7.3233
24		5.1800		5.3200		0.3800		7.4350
25		5.9200		3.9200		1.1400		7.1911
26		5.5500		1.1200		3.2300		6.5184
27		2.2200		2.8000		3.0400		4.6915
28		5.5500		2.8000		0.3800		6.2279
29		6.6600		4.4800		1.1400		8.1071
30		1.8500		3.3600		3.6100		5.2673
31		3.3300		1.1200		1.1400		3.6936
32		1.1100		3.6400		1.3300		4.0312
33		6.2900		5.0400		3.6100		8.8316
34		1.8500		0.5600		3.4200		3.9284
35		4.4400		2.5200		3.4200		6.1449
36		7.0300		5.0400		3.4200		9.3016
37		5.5500		1.4000		1.9000		6.0310
38		4.4400		1.6800		3.0400		5.6372
39		5.9200		5.3200		0.5700		7.9796
40		7.4000		2.5200		2.4700		8.1982
41		0.3700		5.0400		2.8500		5.8018
42		3.3300		4.4800		1.7100		5.8381
43		5.1800		3.0800		1.3300		6.1715
44		1.1100		0.8400		1.1400		1.7992
45		1.1100		3.6400		1.5200		4.0978
46		0.7400		4.4800		2.4700		5.1690
47		4.4400		0.5600		2.0900		4.9392
48		4.4400		5.3200		3.4200		7.7274
49		6.2900		3.0800		0.1900		7.0062
50		7.4000		4.4800		1.3300		8.7521
51		4.8100		5.3200		3.0400		7.7897
52		7.4000		4.2000		0.7600		8.5427
53		3.7000		0.2800		1.1400		3.8818
54		2.5900		1.1200		1.3300		3.1195
55		5.1800		3.0800		3.6100		7.0250
56		5.5500		0.2800		0.9500		5.6377
57		2.5900		4.2000		1.3300		5.1105
58		5.5500		1.1200		3.6100		6.7148
59		1.8500		3.0800		2.0900		4.1566
60		7.4000		1.1200		1.5200		7.6371
61		2.2200		5.0400		2.4700		6.0358
62		7.4000		2.2400		1.1400		7.8152
63		6.2900		1.6800		0.7600		6.5547
64		0.3700		1.4000		1.7100		2.2408
65		5.9200		4.4800		1.1400		7.5111
66		5.5500		0.8400		2.2800		6.0586
67		7.4000		3.6400		0.9500		8.3013
68		5.9200		5.3200		3.2300		8.5896
69		4.8100		4.4800		2.2800		6.9574
70		5.1800		2.8000		3.4200		6.8095
71		5.1800		2.2400		1.1400		5.7576
72		4.0700		0.8400		2.2800		4.7401
73		3.3300		5.0400		0.3800		6.0527
74		2.2200		4.4800		1.7100		5.2842
75		5.9200		4.7600		1.5200		7.7469
76		7.4000		4.2000		2.2800		8.8090
77		6.2900		0.5600		2.4700		6.7808
78		0.3700		4.2000		0.9500		4.3220
79		5.9200		2.8000		1.5200		6.7229
80		5.9200		3.9200		1.9000		7.3500
81		0.3700		4.4800		3.0400		5.4267
82		2.5900		1.1200		0.5700		2.8788
83		6.2900		2.5200		1.9000		7.0374
84		4.4400		1.4000		3.6100		5.8912
85		3.3300		5.0400		2.2800		6.4567
86		3.7000		1.1200		2.2800		4.4881
87		4.4400		4.2000		3.8000		7.1968
88		5.9200		2.8000		0.1900		6.5515
89		3.7000		1.1200		2.8500		4.8028
90		0.3700		5.0400		1.1400		5.1806
91		6.6600		1.6800		0.1900		6.8713
92		6.2900		1.4000		3.4200		7.2952
93		3.3300		1.4000		2.0900		4.1734
94		4.0700		4.7600		2.4700		6.7323
95		5.5500		5.0400		0.9500		7.5569
96		0.7400		2.5200		1.1400		2.8631
97		7.0300		5.6000		1.9000		9.1865
98		3.7000		3.9200		0.7600		5.4437
99		2.9600		2.2400		2.6600		4.5667
