The Values for the Power as a function of Time are: 
index		Px		Py		Pz		Pmag
0		0.00		0.00		0.00		0.00
1		0.00		0.00		0.00		0.00
2		0.00		0.00		0.00		0.00
3		1.11		3.02		0.41		3.24
4		7.49		0.33		1.18		7.59
5		11.53		1.91		1.81		11.83
6		4.66		5.21		2.70		7.49
7		1.52		9.08		1.32		9.30
8		16.36		8.26		7.24		19.70
9		1.66		14.45		8.63		16.91
10		36.87		20.24		9.01		43.01
11		35.43		9.89		9.22		37.92
12		19.96		18.51		11.56		29.58
13		59.88		17.94		18.42		65.17
14		6.43		15.75		13.30		21.60
15		52.78		36.17		7.02		64.37
16		22.95		20.29		15.18		34.19
17		63.21		45.44		2.62		77.89
18		61.32		24.00		6.98		66.22
19		43.16		32.48		7.05		54.48
20		88.13		34.05		5.79		94.66
21		16.30		22.89		14.84		31.78
22		29.52		6.89		21.19		36.99
23		107.78		32.01		14.28		113.34
24		85.77		68.17		3.38		109.62
25		106.01		52.23		10.53		118.65
26		105.21		16.13		30.07		110.60
27		44.74		42.55		29.01		68.22
28		118.10		43.18		3.87		125.80
29		144.71		71.63		12.33		161.94
30		42.28		55.63		39.31		80.17
31		80.59		19.56		12.68		83.89
32		27.28		66.04		15.76		73.17
33		158.82		92.59		43.61		188.94
34		47.13		10.70		42.24		64.18
35		118.76		50.72		44.74		136.67
36		190.67		102.02		47.11		221.32
37		155.52		29.05		27.49		160.58
38		130.74		36.58		46.08		143.37
39		180.97		117.34		8.86		215.86
40		232.87		56.44		39.91		242.91
41		12.09		118.31		46.38		127.65
42		113.77		107.45		28.69		159.10
43		177.37		77.01		23.08		194.74
44		38.76		21.77		20.18		48.81
45		39.92		96.59		27.31		108.02
46		26.78		119.64		44.95		130.58
47		161.68		15.37		38.68		166.95
48		162.34		150.82		65.00		230.93
49		235.64		87.67		3.69		251.45
50		283.88		132.34		26.76		314.35
51		190.65		160.47		61.29		256.62
52		304.39		130.50		15.53		331.55
53		155.80		9.00		23.99		157.89
54		112.94		36.96		28.20		122.13
55		229.76		101.81		77.36		262.95
56		249.08		9.32		20.61		250.11
57		118.96		142.41		29.83		187.94
58		261.14		38.04		81.67		276.25
59		88.02		107.23		47.85		146.74
60		360.39		39.25		35.91		364.29
61		108.95		179.75		59.40		218.42
62		374.25		80.40		27.76		383.79
63		320.94		62.01		18.89		327.42
64		19.43		52.31		42.90		70.39
65		318.47		168.92		28.77		361.65
66		298.98		31.91		58.34		306.29
67		407.52		141.58		24.53		432.11
68		332.67		207.83		84.88		401.33
69		277.50		178.32		60.35		335.33
70		305.06		114.47		92.77		338.77
71		310.10		93.60		31.45		325.44
72		247.92		35.58		64.48		258.63
73		206.34		215.75		10.83		298.73
74		139.39		192.54		49.54		242.81
75		375.69		209.44		44.15		432.39
76		472.94		188.61		67.02		513.55
77		409.54		25.69		73.37		416.85
78		24.65		196.23		28.66		199.83
79		401.86		131.14		46.61		425.28
80		402.31		186.92		58.63		447.47
81		25.59		216.17		94.74		237.40
82		182.22		54.93		17.98		191.17
83		443.00		125.88		61.11		464.58
84		315.04		70.25		116.53		343.17
85		240.52		255.48		74.48		358.70
86		270.57		57.09		76.14		286.82
87		327.68		218.37		128.66		414.26
88		441.34		146.22		6.52		464.97
89		279.16		59.44		100.00		302.43
90		28.36		270.34		40.05		274.75
91		515.47		90.49		6.78		523.39
92		487.30		76.84		122.90		508.40
93		262.47		77.32		75.19		283.77
94		325.99		264.22		90.57		429.28
95		448.27		281.20		35.24		530.34
96		60.38		143.03		42.85		161.05
97		581.50		323.55		71.79		669.32
98		306.61		228.49		28.89		383.47
99		249.50		133.10		102.14		300.67
