The computed Force for the 100 Generated Acceleration values are: 
index		Fx		Fy		Fz		Fmag
0		0.000		0.000		0.000		0.000
1		119.880		113.400		107.730		197.070
2		284.715		124.740		100.035		326.542
3		74.925		215.460		30.780		230.183
4		149.850		11.340		46.170		157.211
5		194.805		34.020		61.560		207.113
6		59.940		90.720		76.950		133.207
7		14.985		147.420		30.780		151.343
8		149.850		113.400		138.510		233.451
9		14.985		158.760		153.900		221.618
10		284.715		192.780		123.120		365.220
11		269.730		79.380		100.035		298.433
12		119.880		124.740		107.730		203.806
13		299.700		113.400		153.900		355.478
14		29.970		90.720		100.035		138.330
15		209.790		192.780		46.170		288.631
16		89.910		102.060		92.340		164.398
17		224.775		204.120		15.390		304.016
18		209.790		102.060		38.475		236.450
19		134.865		124.740		38.475		187.694
20		254.745		124.740		30.780		285.311
21		44.955		79.380		76.950		119.346
22		74.925		22.680		107.730		133.169
23		269.730		102.060		69.255		296.592
24		209.790		215.460		15.390		301.117
25		239.760		158.760		46.170		291.241
26		224.775		45.360		130.815		263.996
27		89.910		113.400		123.120		190.005
28		224.775		113.400		15.390		252.230
29		269.730		181.440		46.170		328.339
30		74.925		136.080		146.205		213.325
31		134.865		45.360		46.170		149.592
32		44.955		147.420		53.865		163.264
33		254.745		204.120		146.205		357.681
34		74.925		22.680		138.510		159.101
35		179.820		102.060		138.510		248.870
36		284.715		204.120		138.510		376.713
37		224.775		56.700		76.950		244.254
38		179.820		68.040		123.120		228.305
39		239.760		215.460		23.085		323.173
40		299.700		102.060		100.035		332.029
41		14.985		204.120		115.425		234.973
42		134.865		181.440		69.255		236.443
43		209.790		124.740		53.865		249.947
44		44.955		34.020		46.170		72.870
45		44.955		147.420		61.560		165.962
46		29.970		181.440		100.035		209.346
47		179.820		22.680		84.645		200.036
48		179.820		215.460		138.510		312.959
49		254.745		124.740		7.695		283.750
50		299.700		181.440		53.865		354.460
51		194.805		215.460		123.120		315.485
52		299.700		170.100		30.780		345.979
53		149.850		11.340		46.170		157.211
54		104.895		45.360		53.865		126.341
55		209.790		124.740		146.205		284.513
56		224.775		11.340		38.475		228.326
57		104.895		170.100		53.865		206.974
58		224.775		45.360		146.205		271.951
59		74.925		124.740		84.645		168.341
60		299.700		45.360		61.560		309.301
61		89.910		204.120		100.035		244.450
62		299.700		90.720		46.170		316.515
63		254.745		68.040		30.780		265.465
64		14.985		56.700		69.255		90.751
65		239.760		181.440		46.170		304.199
66		224.775		34.020		92.340		245.373
67		299.700		147.420		38.475		336.204
68		239.760		215.460		130.815		347.880
69		194.805		181.440		92.340		281.773
70		209.790		113.400		138.510		275.783
71		209.790		90.720		46.170		233.182
72		164.835		34.020		92.340		191.976
73		134.865		204.120		15.390		245.133
74		89.910		181.440		69.255		214.011
75		239.760		192.780		61.560		313.749
76		299.700		170.100		92.340		356.764
77		254.745		22.680		100.035		274.620
78		14.985		170.100		38.475		175.040
79		239.760		113.400		61.560		272.276
80		239.760		158.760		76.950		297.676
81		14.985		181.440		123.120		219.781
82		104.895		45.360		23.085		116.591
83		254.745		102.060		76.950		285.013
84		179.820		56.700		146.205		238.592
85		134.865		204.120		92.340		261.496
86		149.850		45.360		92.340		181.767
87		179.820		170.100		153.900		291.469
88		239.760		113.400		7.695		265.337
89		149.850		45.360		115.425		194.513
90		14.985		204.120		46.170		209.812
91		269.730		68.040		7.695		278.286
92		254.745		56.700		138.510		295.457
93		134.865		56.700		84.645		169.021
94		164.835		192.780		100.035		272.657
95		224.775		204.120		38.475		306.054
96		29.970		102.060		46.170		115.957
97		284.715		226.800		76.950		372.051
98		149.850		158.760		30.780		220.470
99		119.880		90.720		107.730		184.952
