 The Position Values for the object are: 
index		x		y		z		rmag
0		0.0000		0.0000		0.0000		0.0000
1		0.0000		0.0000		0.0000		0.0000
2		0.0000		0.0000		0.0000		0.0000
3		0.0001		0.0001		0.0001		0.0001
4		0.0003		0.0002		0.0002		0.0004
5		0.0006		0.0005		0.0003		0.0009
6		0.0010		0.0008		0.0005		0.0014
7		0.0015		0.0011		0.0007		0.0020
8		0.0021		0.0015		0.0010		0.0027
9		0.0026		0.0019		0.0013		0.0035
10		0.0033		0.0024		0.0016		0.0044
11		0.0039		0.0031		0.0021		0.0054
12		0.0048		0.0038		0.0026		0.0066
13		0.0058		0.0046		0.0032		0.0080
14		0.0068		0.0055		0.0039		0.0096
15		0.0081		0.0064		0.0047		0.0113
16		0.0094		0.0074		0.0055		0.0131
17		0.0108		0.0085		0.0063		0.0151
18		0.0122		0.0097		0.0072		0.0172
19		0.0138		0.0110		0.0082		0.0195
20		0.0156		0.0123		0.0091		0.0218
21		0.0174		0.0138		0.0101		0.0244
22		0.0193		0.0153		0.0110		0.0270
23		0.0213		0.0169		0.0121		0.0298
24		0.0234		0.0185		0.0132		0.0326
25		0.0256		0.0201		0.0143		0.0356
26		0.0279		0.0219		0.0155		0.0387
27		0.0304		0.0238		0.0166		0.0420
28		0.0331		0.0257		0.0179		0.0455
29		0.0357		0.0276		0.0192		0.0491
30		0.0386		0.0297		0.0206		0.0528
31		0.0415		0.0318		0.0219		0.0568
32		0.0446		0.0341		0.0234		0.0608
33		0.0477		0.0363		0.0249		0.0649
34		0.0508		0.0387		0.0264		0.0691
35		0.0541		0.0412		0.0280		0.0736
36		0.0575		0.0437		0.0297		0.0781
37		0.0609		0.0462		0.0315		0.0828
38		0.0646		0.0489		0.0334		0.0876
39		0.0684		0.0517		0.0353		0.0927
40		0.0722		0.0544		0.0373		0.0978
41		0.0763		0.0573		0.0393		0.1032
42		0.0805		0.0603		0.0414		0.1088
43		0.0847		0.0634		0.0435		0.1144
44		0.0890		0.0666		0.0457		0.1202
45		0.0935		0.0698		0.0479		0.1261
46		0.0979		0.0731		0.0502		0.1321
47		0.1024		0.0765		0.0525		0.1382
48		0.1069		0.0800		0.0548		0.1444
49		0.1116		0.0835		0.0572		0.1507
50		0.1163		0.0872		0.0597		0.1571
51		0.1212		0.0909		0.0622		0.1638
52		0.1263		0.0948		0.0647		0.1706
53		0.1315		0.0987		0.0673		0.1777
54		0.1369		0.1028		0.0699		0.1849
55		0.1423		0.1069		0.0726		0.1922
56		0.1479		0.1110		0.0753		0.1996
57		0.1535		0.1152		0.0780		0.2072
58		0.1594		0.1194		0.0808		0.2149
59		0.1652		0.1237		0.0836		0.2227
60		0.1712		0.1280		0.0866		0.2306
61		0.1773		0.1324		0.0895		0.2387
62		0.1835		0.1368		0.0925		0.2469
63		0.1898		0.1414		0.0956		0.2553
64		0.1963		0.1460		0.0987		0.2638
65		0.2030		0.1506		0.1018		0.2725
66		0.2096		0.1553		0.1050		0.2812
67		0.2164		0.1601		0.1082		0.2901
68		0.2234		0.1650		0.1114		0.2992
69		0.2305		0.1699		0.1147		0.3084
70		0.2378		0.1749		0.1180		0.3179
71		0.2451		0.1801		0.1214		0.3275
72		0.2527		0.1853		0.1249		0.3373
73		0.2603		0.1906		0.1284		0.3473
74		0.2681		0.1959		0.1320		0.3573
75		0.2759		0.2013		0.1356		0.3675
76		0.2838		0.2069		0.1392		0.3778
77		0.2918		0.2125		0.1429		0.3883
78		0.3001		0.2183		0.1466		0.3990
79		0.3084		0.2241		0.1504		0.4098
80		0.3168		0.2300		0.1542		0.4208
81		0.3254		0.2359		0.1581		0.4319
82		0.3340		0.2420		0.1620		0.4431
83		0.3427		0.2482		0.1659		0.4545
84		0.3515		0.2544		0.1699		0.4660
85		0.3604		0.2606		0.1739		0.4776
86		0.3694		0.2669		0.1781		0.4893
87		0.3786		0.2733		0.1823		0.5012
88		0.3878		0.2798		0.1865		0.5132
89		0.3971		0.2863		0.1908		0.5254
90		0.4065		0.2929		0.1952		0.5378
91		0.4161		0.2996		0.1996		0.5502
92		0.4257		0.3064		0.2040		0.5627
93		0.4354		0.3132		0.2084		0.5754
94		0.4453		0.3200		0.2130		0.5883
95		0.4552		0.3269		0.2176		0.6012
96		0.4653		0.3339		0.2222		0.6143
97		0.4755		0.3411		0.2269		0.6276
98		0.4858		0.3483		0.2315		0.6410
99		0.4962		0.3556		0.2363		0.6546
