The Velocity Values for the object are: 
index		vx		vy		vz		vmag
0		0.0000		0.0000		0.0000		0.0000
1		0.0000		0.0000		0.0000		0.0000
2		0.0148		0.0140		0.0133		0.0243
3		0.0500		0.0294		0.0257		0.0634
4		0.0592		0.0560		0.0295		0.0866
5		0.0777		0.0574		0.0352		0.1028
6		0.1018		0.0616		0.0428		0.1264
7		0.1092		0.0728		0.0523		0.1412
8		0.1110		0.0910		0.0561		0.1541
9		0.1295		0.1050		0.0732		0.1821
10		0.1313		0.1246		0.0922		0.2031
11		0.1665		0.1484		0.1074		0.2475
12		0.1998		0.1582		0.1197		0.2816
13		0.2146		0.1736		0.1330		0.3064
14		0.2516		0.1876		0.1520		0.3487
15		0.2553		0.1988		0.1643		0.3629
16		0.2812		0.2226		0.1701		0.3969
17		0.2923		0.2352		0.1815		0.4168
18		0.3200		0.2604		0.1834		0.4515
19		0.3459		0.2730		0.1881		0.4792
20		0.3626		0.2884		0.1929		0.5018
21		0.3940		0.3038		0.1967		0.5350
22		0.3996		0.3136		0.2062		0.5482
23		0.4088		0.3164		0.2195		0.5616
24		0.4421		0.3290		0.2280		0.5964
25		0.4680		0.3556		0.2299		0.6312
26		0.4976		0.3752		0.2356		0.6663
27		0.5254		0.3808		0.2518		0.6960
28		0.5365		0.3948		0.2670		0.7176
29		0.5642		0.4088		0.2689		0.7468
30		0.5975		0.4312		0.2746		0.7864
31		0.6068		0.4480		0.2926		0.8090
32		0.6234		0.4536		0.2983		0.8267
33		0.6290		0.4718		0.3050		0.8433
34		0.6604		0.4970		0.3230		0.8874
35		0.6697		0.4998		0.3401		0.9022
36		0.6919		0.5124		0.3572		0.9321
37		0.7270		0.5376		0.3743		0.9786
38		0.7548		0.5446		0.3838		1.0068
39		0.7770		0.5530		0.3990		1.0338
40		0.8066		0.5796		0.4019		1.0715
41		0.8436		0.5922		0.4142		1.1108
42		0.8455		0.6174		0.4285		1.1312
43		0.8621		0.6398		0.4370		1.1591
44		0.8880		0.6552		0.4437		1.1894
45		0.8936		0.6594		0.4494		1.1980
46		0.8991		0.6776		0.4570		1.2150
47		0.9028		0.7000		0.4693		1.2350
48		0.9250		0.7028		0.4798		1.2569
49		0.9472		0.7294		0.4969		1.2946
50		0.9787		0.7448		0.4978		1.3268
51		1.0156		0.7672		0.5045		1.3692
52		1.0397		0.7938		0.5197		1.4075
53		1.0767		0.8148		0.5235		1.4482
54		1.0952		0.8162		0.5292		1.4648
55		1.1081		0.8218		0.5358		1.4800
56		1.1340		0.8372		0.5539		1.5145
57		1.1618		0.8386		0.5586		1.5379
58		1.1747		0.8596		0.5653		1.5616
59		1.2025		0.8652		0.5833		1.5921
60		1.2117		0.8806		0.5938		1.6113
61		1.2487		0.8862		0.6014		1.6451
62		1.2598		0.9114		0.6137		1.6717
63		1.2968		0.9226		0.6194		1.7078
64		1.3283		0.9310		0.6232		1.7377
65		1.3301		0.9380		0.6318		1.7459
66		1.3597		0.9604		0.6375		1.7826
67		1.3875		0.9646		0.6489		1.8101
68		1.4245		0.9828		0.6536		1.8499
69		1.4541		1.0094		0.6698		1.8926
70		1.4781		1.0318		0.6812		1.9270
71		1.5040		1.0458		0.6983		1.9605
72		1.5299		1.0570		0.7040		1.9884
73		1.5503		1.0612		0.7154		2.0103
74		1.5669		1.0864		0.7173		2.0372
75		1.5780		1.1088		0.7258		2.0607
76		1.6076		1.1326		0.7334		2.0989
77		1.6446		1.1536		0.7448		2.1425
78		1.6761		1.1564		0.7572		2.1725
79		1.6779		1.1774		0.7619		2.1868
80		1.7075		1.1914		0.7695		2.2198
81		1.7371		1.2110		0.7790		2.2563
82		1.7390		1.2334		0.7942		2.2751
83		1.7519		1.2390		0.7971		2.2890
84		1.7834		1.2516		0.8066		2.3233
85		1.8056		1.2586		0.8246		2.3504
86		1.8222		1.2838		0.8360		2.3807
87		1.8407		1.2894		0.8474		2.4019
88		1.8629		1.3104		0.8664		2.4369
89		1.8925		1.3244		0.8674		2.4674
90		1.9110		1.3300		0.8816		2.4896
91		1.9129		1.3552		0.8873		2.5066
92		1.9462		1.3636		0.8883		2.5369
93		1.9776		1.3706		0.9054		2.5709
94		1.9943		1.3776		0.9158		2.5911
95		2.0146		1.4014		0.9282		2.6238
96		2.0424		1.4266		0.9329		2.6602
97		2.0461		1.4392		0.9386		2.6719
98		2.0812		1.4672		0.9481		2.7172
99		2.0997		1.4868		0.9519		2.7433
