The Values of the Work as a Function of Time are: 
index		Wx		Wy		Wz		Wmag
1		0.0000		0.0000		0.0000		0.0000
2		0.0000		0.0000		0.0000		0.0000
3		0.0055		0.0151		0.0020		0.0162
4		0.0374		0.0017		0.0059		0.0379
5		0.0577		0.0095		0.0091		0.0591
6		0.0233		0.0260		0.0135		0.0375
7		0.0076		0.0454		0.0066		0.0465
8		0.0818		0.0413		0.0362		0.0985
9		0.0083		0.0722		0.0431		0.0845
10		0.1844		0.1012		0.0450		0.2151
11		0.1771		0.0495		0.0461		0.1896
12		0.0998		0.0926		0.0578		0.1479
13		0.2994		0.0897		0.0921		0.3258
14		0.0322		0.0787		0.0665		0.1080
15		0.2639		0.1808		0.0351		0.3218
16		0.1148		0.1014		0.0759		0.1709
17		0.3160		0.2272		0.0131		0.3894
18		0.3066		0.1200		0.0349		0.3311
19		0.2158		0.1624		0.0353		0.2724
20		0.4406		0.1703		0.0289		0.4733
21		0.0815		0.1145		0.0742		0.1589
22		0.1476		0.0345		0.1059		0.1849
23		0.5389		0.1600		0.0714		0.5667
24		0.4289		0.3409		0.0169		0.5481
25		0.5300		0.2612		0.0526		0.5932
26		0.5260		0.0807		0.1504		0.5530
27		0.2237		0.2127		0.1450		0.3411
28		0.5905		0.2159		0.0194		0.6290
29		0.7236		0.3582		0.0616		0.8097
30		0.2114		0.2781		0.1965		0.4008
31		0.4029		0.0978		0.0634		0.4195
32		0.1364		0.3302		0.0788		0.3659
33		0.7941		0.4629		0.2181		0.9447
34		0.2356		0.0535		0.2112		0.3209
35		0.5938		0.2536		0.2237		0.6834
36		0.9534		0.5101		0.2355		1.1066
37		0.7776		0.1453		0.1374		0.8029
38		0.6537		0.1829		0.2304		0.7168
39		0.9049		0.5867		0.0443		1.0793
40		1.1643		0.2822		0.1996		1.2146
41		0.0604		0.5915		0.2319		0.6382
42		0.5689		0.5372		0.1434		0.7955
43		0.8868		0.3851		0.1154		0.9737
44		0.1938		0.1088		0.1009		0.2441
45		0.1996		0.4829		0.1366		0.5401
46		0.1339		0.5982		0.2248		0.6529
47		0.8084		0.0768		0.1934		0.8347
48		0.8117		0.7541		0.3250		1.1546
49		1.1782		0.4383		0.0185		1.2572
50		1.4194		0.6617		0.1338		1.5718
51		0.9532		0.8024		0.3064		1.2831
52		1.5220		0.6525		0.0776		1.6577
53		0.7790		0.0450		0.1200		0.7895
54		0.5647		0.1848		0.1410		0.6107
55		1.1488		0.5091		0.3868		1.3147
56		1.2454		0.0466		0.1031		1.2505
57		0.5948		0.7120		0.1492		0.9397
58		1.3057		0.1902		0.4084		1.3812
59		0.4401		0.5361		0.2392		0.7337
60		1.8019		0.1962		0.1795		1.8215
61		0.5447		0.8987		0.2970		1.0921
62		1.8713		0.4020		0.1388		1.9190
63		1.6047		0.3101		0.0944		1.6371
64		0.0972		0.2616		0.2145		0.3519
65		1.5924		0.8446		0.1439		1.8082
66		1.4949		0.1596		0.2917		1.5314
67		2.0376		0.7079		0.1226		2.1605
68		1.6633		1.0392		0.4244		2.0067
69		1.3875		0.8916		0.3018		1.6767
70		1.5253		0.5723		0.4638		1.6939
71		1.5505		0.4680		0.1572		1.6272
72		1.2396		0.1779		0.3224		1.2931
73		1.0317		1.0788		0.0542		1.4937
74		0.6969		0.9627		0.2477		1.2140
75		1.8785		1.0472		0.2208		2.1619
76		2.3647		0.9430		0.3351		2.5678
77		2.0477		0.1284		0.3668		2.0843
78		0.1232		0.9811		0.1433		0.9992
79		2.0093		0.6557		0.2331		2.1264
80		2.0115		0.9346		0.2931		2.2373
81		0.1279		1.0808		0.4737		1.1870
82		0.9111		0.2747		0.0899		0.9558
83		2.2150		0.6294		0.3056		2.3229
84		1.5752		0.3513		0.5827		1.7158
85		1.2026		1.2774		0.3724		1.7935
86		1.3528		0.2855		0.3807		1.4341
87		1.6384		1.0919		0.6433		2.0713
88		2.2067		0.7311		0.0326		2.3249
89		1.3958		0.2972		0.5000		1.5122
90		0.1418		1.3517		0.2002		1.3738
91		2.5773		0.4525		0.0339		2.6170
92		2.4365		0.3842		0.6145		2.5420
93		1.3124		0.3866		0.3759		1.4188
94		1.6299		1.3211		0.4528		2.1464
95		2.2413		1.4060		0.1762		2.6517
96		0.3019		0.7151		0.2143		0.8053
97		2.9075		1.6178		0.3589		3.3466
98		1.5330		1.1424		0.1445		1.9174
99		1.2475		0.6655		0.5107		1.5033
